["port 2","RIGHT"]
["port 3","RIGHT"]
["port 1","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(150, 3)
1.9212505910537634e+14 2.6793431978007994e-03 8.5659724333893351e+01
1.9220772909638553e+14 2.4443810010285282e-03 8.7904817511270991e+01
1.9229047026259147e+14 3.3485479283012283e-03 8.8688664126620964e+01
1.9237328269595178e+14 1.9744778591193756e-03 9.0482650227307062e+01
1.9245616648858250e+14 2.7455313693809788e-03 9.1916710475378721e+01
1.9253912173275862e+14 3.0072172164408348e-03 9.2800067365056108e+01
1.9262214852091419e+14 3.3691416567879747e-03 9.5712136476980433e+01
1.9270524694564281e+14 1.7320341167310217e-03 9.6384264128473632e+01
1.9278841709969788e+14 1.0442119710913423e-03 9.8175924363138066e+01
1.9287165907599309e+14 3.5072569549086576e-03 9.9311851264716921e+01
1.9295497296760259e+14 1.5252687668231627e-03 9.9769263324323390e+01
1.9303835886776147e+14 1.6814130980712019e-03 1.0183490430968679e+02
1.9312181686986597e+14 1.1597327443461920e-03 1.0247875837531056e+02
1.9320534706747406e+14 1.4356593473476220e-03 1.0136285509662802e+02
1.9328894955430550e+14 1.3226170734809575e-03 9.8665185737953848e+01
1.9337262442424244e+14 2.7667477164176339e-03 1.0057229012577929e+02
1.9345637177132959e+14 8.1980091592158150e-04 1.0245277392743560e+02
1.9354019168977469e+14 1.4243502004397104e-03 1.0264341209977914e+02
1.9362408427394884e+14 3.9889857119285183e-03 1.0440261223668487e+02
1.9370804961838681e+14 2.9096724888742938e-03 1.0726780913314160e+02
1.9379208781778741e+14 8.4168239829450725e-04 1.0678919449518169e+02
1.9387619896701388e+14 2.5561255201460046e-03 1.0857548913031923e+02
1.9396038316109422e+14 5.1263756276418628e-03 1.1113813504389151e+02
1.9404464049522156e+14 1.9041397140301076e-03 1.1367210156473396e+02
1.9412897106475447e+14 4.7617264889829281e-04 1.1268784600535032e+02
1.9421337496521741e+14 3.6570377187953082e-04 1.1064501559093797e+02
1.9429785229230100e+14 9.7047768197471755e-04 1.0996886630951582e+02
1.9438240314186250e+14 3.3576708918171263e-04 1.0843223352456005e+02
1.9446702760992600e+14 1.4293796916280380e-03 1.0554463383905545e+02
1.9455172579268294e+14 1.7280723615702646e-03 1.0711916675921505e+02
1.9463649778649238e+14 1.3850998640590007e-03 1.0717605101540060e+02
1.9472134368788144e+14 3.2295668128420095e-03 1.0904512267240789e+02
1.9480626359354556e+14 4.8337274155059494e-03 1.1144588580169642e+02
1.9489125760034903e+14 1.3659730433957917e-03 1.1281810978605982e+02
1.9497632580532519e+14 3.6163013380599487e-03 1.1418544356486962e+02
1.9506146830567684e+14 3.2087026537348795e-03 1.1556897074409056e+02
1.9514668519877675e+14 1.6244717014909803e-03 1.1689743854549130e+02
1.9523197658216784e+14 3.1289246609567120e-03 1.1824980980975354e+02
1.9531734255356362e+14 1.8081750038530700e-03 1.1934250565754434e+02
1.9540278321084866e+14 3.3493186547260802e-03 1.2008435772266392e+02
1.9548829865207878e+14 5.0631711985128129e-03 1.2265398275006923e+02
1.9557388897548162e+14 1.4001677910681265e-03 1.2432337839108135e+02
1.9565955427945684e+14 2.7674990386957676e-03 1.2497166031374631e+02
1.9574529466257669e+14 5.8676566296671463e-03 1.2651309147820294e+02
1.9583111022358616e+14 4.2026258742719003e-03 1.2831257579596809e+02
1.9591700106140350e+14 6.8194997813253670e-03 1.2939273292520852e+02
